Country,Ranking,,Economy,GDP,
USA,1,,United States,"25,462,700",
CHN,2,,China,"17,963,171",
JPN,3,,Japan,"4,231,141",
DEU,4,,Germany,"4,072,192",
IND,5,,India,"3,385,090",
GBR,6,,United Kingdom,"3,070,668",
FRA,7,,France,"2,782,905",
RUS,8,,Russian Federation,"2,240,422",
CAN,9,,Canada,"2,139,840",a
ITA,10,,Italy,"2,010,432",
BRA,11,,Brazil,"1,920,096",
AUS,12,,Australia,"1,675,419",
KOR,13,,"Korea, Rep.","1,665,246",
MEX,14,,Mexico,"1,414,187",
ESP,15,,Spain,"1,397,509",
IDN,16,,Indonesia,"1,319,100",
SAU,17,,Saudi Arabia,"1,108,149",
NLD,18,,Netherlands,"991,115",
TUR,19,,Türkiye,"905,988",
CHE,20,,Switzerland,"807,706",
POL,21,,Poland,"688,177",
ARG,22,,Argentina,"632,770",
SWE,23,,Sweden,"585,939",
NOR,24,,Norway,"579,267",
BEL,25,,Belgium,"578,604",
CUB,26,,Cuba,"545,218",
IRL,27,,Ireland,"529,245",
ISR,28,,Israel,"522,033",
ARE,29,,United Arab Emirates,"507,535",
THA,30,,Thailand,"495,341",
NGA,31,,Nigeria,"477,386",
EGY,32,,"Egypt, Arab Rep.","476,748",
AUT,33,,Austria,"471,400",
SGP,34,,Singapore,"466,789",
BGD,35,,Bangladesh,"460,201",
VNM,36,,Vietnam,"408,802",
MYS,37,,Malaysia,"406,306",
ZAF,38,,South Africa,"405,870",
PHL,39,,Philippines,"404,284",
DNK,40,,Denmark,"395,404",
IRN,41,,"Iran, Islamic Rep.","388,544",
PAK,42,,Pakistan,"376,533",
HKG,43,,"Hong Kong SAR, China","359,839",
COL,44,,Colombia,"343,939",
ROU,45,,Romania,"301,262",
CHL,46,,Chile,"301,025",
CZE,47,,Czech Republic,"290,924",
FIN,48,,Finland,"280,826",
IRQ,49,,Iraq,"264,182",
PRT,50,,Portugal,"251,945",
NZL,51,,New Zealand,"247,234",
PER,52,,Peru,"242,632",
QAT,53,,Qatar,"237,296",
KAZ,54,,Kazakhstan,"220,623",
GRC,55,,Greece,"219,066",
DZA,56,,Algeria,"191,913",
KWT,57,,Kuwait,"184,558",
HUN,58,,Hungary,"178,789",
UKR,59,,Ukraine,"160,503",
MAR,60,,Morocco,"134,182",a
ETH,61,,Ethiopia,"126,783",b
SVK,62,,Slovak Republic,"115,469",
ECU,63,,Ecuador,"115,049",
OMN,64,,Oman,"114,667",
DOM,65,,Dominican Republic,"113,642",
PRI,66,,Puerto Rico,"113,435",
KEN,67,,Kenya,"113,420",
AGO,68,,Angola,"106,714",
GTM,69,,Guatemala,"95,003",
BGR,70,,Bulgaria,"89,040",
LUX,71,,Luxembourg,"82,275",
UZB,72,,Uzbekistan,"80,392",
AZE,73,,Azerbaijan,"78,721",
PAN,74,,Panama,"76,523",
TZA,75,,Tanzania,"75,709",
LKA,76,,Sri Lanka,"74,404",c
GHA,77,,Ghana,"72,839",
BLR,78,,Belarus,"72,793",
URY,79,,Uruguay,"71,177",
HRV,80,,Croatia,"70,965",
LTU,81,,Lithuania,"70,334",
CIV,82,,Côte d'Ivoire,"70,019",
CRI,83,,Costa Rica,"68,381",
SRB,84,,Serbia,"63,502",
SVN,85,,Slovenia,"62,118",
MMR,86,,Myanmar,"59,364",
COD,87,,"Congo, Dem. Rep.","58,066",
SDN,88,,Sudan,"51,662",
JOR,89,,Jordan,"47,451",
TUN,90,,Tunisia,"46,665",
LBY,91,,Libya,"45,752",
TKM,92,,Turkmenistan,"45,611",
UGA,93,,Uganda,"45,559",
BHR,94,,Bahrain,"44,391",
CMR,95,,Cameroon,"44,342",
BOL,96,,Bolivia,"43,069",
PRY,97,,Paraguay,"41,722",
LVA,98,,Latvia,"41,154",
NPL,99,,Nepal,"40,828",
EST,100,,Estonia,"38,101",
SLV,101,,El Salvador,"32,489",
HND,102,,Honduras,"31,718",
PNG,103,,Papua New Guinea,"30,633",
KHM,104,,Cambodia,"29,957",
ZMB,105,,Zambia,"29,784",
CYP,106,,Cyprus,"28,439",
TTO,107,,Trinidad and Tobago,"27,899",d
ISL,108,,Iceland,"27,842",
SEN,109,,Senegal,"27,684",
GEO,110,,Georgia,"24,605",
BIH,111,,Bosnia and Herzegovina,"24,528",e
LBN,112,,Lebanon,"23,132",
MAC,113,,"Macao SAR, China","21,979",
GIN,114,,Guinea,"21,228",
GAB,115,,Gabon,"21,072",
ZWE,116,,Zimbabwe,"20,678",
BWA,117,,Botswana,"20,352",
HTI,118,,Haiti,"20,254",
ARM,119,,Armenia,"19,503",
PSE,120,,West Bank and Gaza,"19,112",
BFA,121,,Burkina Faso,"18,885",
ALB,122,,Albania,"18,882",
MLI,123,,Mali,"18,827",
MOZ,124,,Mozambique,"17,851",
MLT,125,,Malta,"17,765",
BEN,126,,Benin,"17,402",
JAM,127,,Jamaica,"17,098",
MNG,128,,Mongolia,"16,811",
BRN,129,,Brunei Darussalam,"16,682",
LAO,130,,Lao PDR,"15,724",
NIC,131,,Nicaragua,"15,672",
GUY,132,,Guyana,"15,358",
MDG,133,,Madagascar,"14,955",
COG,134,,"Congo, Rep.","14,616",
AFG,135,,Afghanistan,"14,583",
MDA,136,,Moldova,"14,421",
NER,137,,Niger,"13,970",f
MKD,138,,North Macedonia,"13,563",
RWA,139,,Rwanda,"13,313",
MWI,140,,Malawi,"13,165",
MUS,141,,Mauritius,"12,898",
BHS,142,,"Bahamas, The","12,897",
TCD,143,,Chad,"12,704",
NAM,144,,Namibia,"12,607",
GNQ,145,,Equatorial Guinea,"11,814",
CHI,146,,Channel Islands,"11,736",
SYR,147,,Syrian Arab Republic,"11,159",
KGZ,148,,Kyrgyz Republic,"10,931",
TJK,149,,Tajikistan,"10,492",
MRT,150,,Mauritania,"10,375",
NCL,151,,New Caledonia,"10,071",
XKX,152,,Kosovo,"9,429",
MCO,153,,Monaco,"8,596",
TGO,154,,Togo,"8,126",
SOM,155,,Somalia,"8,126",
BMU,156,,Bermuda,"7,551",
LIE,157,,Liechtenstein,"7,186",
IMN,158,,Isle of Man,"6,684",
MDV,159,,Maldives,"6,190",
GUM,160,,Guam,"6,123",
MNE,161,,Montenegro,"6,096",
PYF,162,,French Polynesia,"6,080",
CYM,163,,Cayman Islands,"6,028",
BRB,164,,Barbados,"5,638",
FJI,165,,Fiji,"4,943",
SWZ,166,,Eswatini,"4,854",
VIR,167,,Virgin Islands (U.S.),"4,204",
LBR,168,,Liberia,"4,001",
SLE,169,,Sierra Leone,"3,970",
FRO,170,,Faroe Islands,"3,650",
SUR,171,,Suriname,"3,621",
DJI,172,,Djibouti,"3,515",
AND,173,,Andorra,"3,352",
GRL,174,,Greenland,"3,236",
TLS,175,,Timor-Leste,"3,163",
ABW,176,,Aruba,"3,126",
BDI,177,,Burundi,"3,073",
BLZ,178,,Belize,"2,824",
CUW,179,,Curaçao,"2,700",
LSO,180,,Lesotho,"2,553",
BTN,181,,Bhutan,"2,540",
CAF,182,,Central African Republic,"2,383",
CPV,183,,Cabo Verde,"2,315",
GMB,184,,"Gambia, The","2,273",
LCA,185,,St. Lucia,"2,065",
SMR,186,,San Marino,"1,855",
ATG,187,,Antigua and Barbuda,"1,758",
GNB,188,,Guinea-Bissau,"1,634",
SLB,189,,Solomon Islands,"1,596",
SYC,190,,Seychelles,"1,588",
SXM,191,,Sint Maarten (Dutch part),"1,572",
GRD,192,,Grenada,"1,256",
COM,193,,Comoros,"1,243",
TCA,194,,Turks and Caicos Islands,"1,139",
VUT,195,,Vanuatu,984,
KNA,196,,St. Kitts and Nevis,962,
VCT,197,,St. Vincent and the Grenadines,949,
MNP,198,,Northern Mariana Islands,858,
WSM,199,,Samoa,832,
ASM,200,,American Samoa,709,
DMA,201,,Dominica,612,
STP,202,,São Tomé and Principe,547,
TON,203,,Tonga,469,
FSM,204,,"Micronesia, Fed. Sts.",427,
MHL,205,,Marshall Islands,280,
KIR,206,,Kiribati,223,
PLW,207,,Palau,218,
NRU,208,,Nauru,151,
TUV,209,,Tuvalu,60,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
